Year,Event with year,Place,Artist,Place of birth,M/F/CO,P/C,Combination,Latitude,Longitude
2005,Baltic Triennial 2005,Vilnius,Markus Schinwald ,Austria,M,C,MC,47.5162,14.5501
2005,Baltic Triennial 2005,Vilnius,Drum Ecstasy  ,Belarus,M,P,MP,53.7098,27.9534
2005,Baltic Triennial 2005,Vilnius,Daniel Bozhkov ,Bulgaria,M,P,MP,42.7339,25.4858
2005,Baltic Triennial 2005,Vilnius,Jeppe Hein ,Denmark,M,C,MC,56.2639,9.5018
2005,Baltic Triennial 2005,Vilnius,Joachim Koester ,Denmark,M,C,MC,56.2639,9.5018
2005,Baltic Triennial 2005,Vilnius,Brice Dellsperger ,France,M,C,MC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Bruno Serralongue ,France,M,C,MC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Christelle Lheureux ,France,F,C,FC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Loris Greaud ,France,F,C,FC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Matthieu Laurette ,France,M,C,MC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,Vidya Gastaldon ,France,F,C,FC,46.2276,2.2137
2005,Baltic Triennial 2005,Vilnius,David Kuenzi ,Germany,M,C,MC,51.1657,10.4515
2005,Baltic Triennial 2005,Vilnius,Mrzyk & Moriceau ,Germany,CO,C,COC,51.1657,10.4515
2005,Baltic Triennial 2005,Vilnius,Rene Gabri ,Iran,M,P,MP,32.4279,53.688
2005,Baltic Triennial 2005,Vilnius,Roberto Cuoghi ,Italy,M,C,MC,41.8719,12.5674
2005,Baltic Triennial 2005,Vilnius,Arturas Raila ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Bernadeta Levule ,Lithuania,F,P,FP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Deimantas Narkevicius ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Gintaras Makarevicius ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Juozas Laivys ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Kristina Inciuraite ,Lithuania,F,P,FP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Laura Stasiulyte ,Lithuania,F,P,FP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Mindaugas Lukosaitis ,Lithuania,M,P,MP,55.1694,23.8813
2005,Baltic Triennial 2005,Vilnius,Mariana Castillo Deball ,Mexico,F,P,FP,23.6345,-102.5528
2005,Baltic Triennial 2005,Vilnius,Mario Garcia Torres ,Mexico,M,P,MP,23.6345,-102.5528
2005,Baltic Triennial 2005,Vilnius,Pablo Leon de la Barra ,Mexico,M,P,MP,23.6345,-102.5528
2005,Baltic Triennial 2005,Vilnius,Teresa Margolles ,Mexico,F,P,FP,23.6345,-102.5528
2005,Baltic Triennial 2005,Vilnius,Gabriel Lester ,Netherlands,M,C,MC,52.1326,5.2913
2005,Baltic Triennial 2005,Vilnius,Maaike Gottschal ,Netherlands,F,C,FC,52.1326,5.2913
2005,Baltic Triennial 2005,Vilnius,Melvin Moti ,Netherlands,M,C,MC,52.1326,5.2913
2005,Baltic Triennial 2005,Vilnius,Natascha Hagenbeek  ,Netherlands,F,C,FC,52.1326,5.2913
2005,Baltic Triennial 2005,Vilnius,Ignacio Gonzalez-Lang ,Puerto Rico,M,P,MP,18.2208,-66.5901
2005,Baltic Triennial 2005,Vilnius,Ion Grigorescu ,Romania,M,P,MP,45.9432,24.9668
2005,Baltic Triennial 2005,Vilnius,Karl Holmqvist ,Sweden,M,C,MC,60.1282,18.6435
2005,Baltic Triennial 2005,Vilnius,Mirjam Wirz  ,Switzerland,M,C,MC,46.8182,8.2275
2005,Baltic Triennial 2005,Vilnius,Apichatpong Weerasethakul ,Thailand,M,P,MP,15.87,100.9925
2005,Baltic Triennial 2005,Vilnius,Cara Tolmie ,UK,F,C,FC,55.3781,-3.436
2005,Baltic Triennial 2005,Vilnius,Jonathan Monk ,UK,M,C,MC,55.3781,-3.436
2005,Baltic Triennial 2005,Vilnius,Kyle McCallum  ,UK,M,C,MC,55.3781,-3.436
2005,Baltic Triennial 2005,Vilnius,Olivia Plender ,UK,F,C,FC,55.3781,-3.436
2005,Baltic Triennial 2005,Vilnius,Alex Bag,USA,M,C,MC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Carey Young ,USA,M,C,MC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Deric Carner ,USA,M,C,MC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Donelle Woolford ,USA,F,C,FC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Emily Cullman  ,USA,F,C,FC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Joe Scanlan ,USA,M,C,MC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Reena Spaulings,USA,F,C,FC,37.0902,-95.7129
2005,Baltic Triennial 2005,Vilnius,Ross Cisneros  ,USA,M,C,MC,37.0902,-95.7129
2009,Baltic Triennial 2009,Vilnius,Ariel Orozco ,Cuba,F,P,FP,21.5218,-77.7812
2009,Baltic Triennial 2009,Vilnius,Kristina Norman ,Estonia,F,P,FP,58.5953,25.0136
2009,Baltic Triennial 2009,Vilnius,CHIM POM,Japan,CO,P,COP,36.2048,138.2529
2009,Baltic Triennial 2009,Vilnius,Edmunds Jansons  ,Latvia,M,P,MP,56.8796,24.6032
2009,Baltic Triennial 2009,Vilnius,Akvile Anglickaite,Lithuania,F,P,FP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Algimantas Kuncius,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Arunas Gudaitis ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Aurelija Maknyte ,Lithuania,F,P,FP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Darius Miksys ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Deimantas Narkevicius ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Evaldas Jansas ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Kestutis Sapoka  ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Laura Garbstiene ,Lithuania,F,P,FP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Mindaugas Lukosaitis ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Mindaugas Navakas ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,The Second Royal Palace Club  ,Lithuania,CO,P,COP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Vita Zaman  ,Lithuania,F,P,FP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Zilvinas Landzbergas ,Lithuania,M,P,MP,55.1694,23.8813
2009,Baltic Triennial 2009,Vilnius,Cora Roorda van Eijsinga ,Netherlands,F,C,FC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Frank Koolen ,Netherlands,M,C,MC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Helena Muskens  ,Netherlands,F,C,FC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Kevin Van Braak ,Netherlands,M,C,MC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Quirine Racke,Netherlands,F,C,FC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Thomas Manneke ,Netherlands,M,C,MC,52.1326,5.2913
2009,Baltic Triennial 2009,Vilnius,Ibrahim Quraishi ,Pakistan,M,P,MP,30.3753,69.3451
2009,Baltic Triennial 2009,Vilnius,Pavel Braila ,Republic of Moldova,M,P,MP,47.4116,28.3699
2009,Baltic Triennial 2009,Vilnius,Irina Korina ,Russia,F,P,FP,61.524,105.3188
2009,Baltic Triennial 2009,Vilnius,Nikolay Oleynikov ,Russia,M,P,MP,61.524,105.3188
2009,Baltic Triennial 2009,Vilnius,Ha Za Vu Zu,Turkey,CO,P,COP,38.9637,35.2433
2009,Baltic Triennial 2009,Vilnius,Alison Jackson,UK,F,C,FC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Beatrice Gibson,UK,F,C,FC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Emily Wardill ,UK,F,C,FC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Gail Pickering,UK,F,C,FC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Jamie McCarthy  ,UK,M,C,MC,55.3781,-3.436
2009,Baltic Triennial 2009,Vilnius,Colter Jacobsen ,USA,M,C,MC,37.0902,-95.7129
2009,Baltic Triennial 2009,Vilnius,My Barbarian,USA,CO,C,COC,37.0902,-95.7129
2009,Baltic Triennial 2009,Vilnius,Paul Ramirez-Jonas ,USA,M,C,MC,37.0902,-95.7129
2012,Baltic Triennial 2012,Vilnius,Neil Beloufa ,Algeria,M,P,MP,28.0339,1.6596
2012,Baltic Triennial 2012,Vilnius,Ursula Mayer ,Austria,F,C,FC,47.5162,14.5501
2012,Baltic Triennial 2012,Vilnius,Miet Warlop ,Belgium,F,C,FC,50.5039,4.4699
2012,Baltic Triennial 2012,Vilnius,Ivo Dimchev  ,Bulgaria,M,P,MP,42.7339,25.4858
2012,Baltic Triennial 2012,Vilnius,Moyra Davey ,Canada,F,P,FP,56.1304,-106.3468
2012,Baltic Triennial 2012,Vilnius,Hu Xiangqian ,China,M,P,MP,35.8617,104.1954
2012,Baltic Triennial 2012,Vilnius,Kroot Juurak ,Estonia,F,P,FP,58.5953,25.0136
2012,Baltic Triennial 2012,Vilnius,Goodiepal,Faroe Islands,M,P,MP,61.8926,-6.9118
2012,Baltic Triennial 2012,Vilnius,Benjamin Seror ,France,M,C,MC,46.2276,2.2137
2012,Baltic Triennial 2012,Vilnius,Ragnar Kjartansson ,Iceland,M,P,MP,64.9631,-19.0208
2012,Baltic Triennial 2012,Vilnius,Rania Stephan ,Lebanon,F,P,FP,33.8547,35.8623
2012,Baltic Triennial 2012,Vilnius,Egle Budvytytes ,Lithuania,F,P,FP,55.1694,23.8813
2012,Baltic Triennial 2012,Vilnius,Valentinas Klimasauskas  ,Lithuania,M,P,MP,55.1694,23.8813
2012,Baltic Triennial 2012,Vilnius,Morten Norbye Halvorsen ,Norway,M,C,MC,60.472,8.4689
2012,Baltic Triennial 2012,Vilnius,Oskar Dawicki ,Poland,M,P,MP,51.9194,19.1451
2012,Baltic Triennial 2012,Vilnius,Alexandra Bachzetsis,Switzerland,F,C,FC,46.8182,8.2275
2012,Baltic Triennial 2012,Vilnius,Asli Cavusoglu ,Turkey,F,P,FP,38.9637,35.2433
2012,Baltic Triennial 2012,Vilnius,Ed Atkins ,UK,M,C,MC,55.3781,-3.436
2012,Baltic Triennial 2012,Vilnius,Luke Fowler ,UK,M,C,MC,55.3781,-3.436
2012,Baltic Triennial 2012,Vilnius,Mark Aerial Waller ,UK,M,C,MC,55.3781,-3.436
2012,Baltic Triennial 2012,Vilnius,Tim Etchells ,UK,M,C,MC,55.3781,-3.436
2012,Baltic Triennial 2012,Vilnius,Adam Kleinman,USA,M,C,MC,37.0902,-95.7129
2012,Baltic Triennial 2012,Vilnius,Catherine Sullivan ,USA,F,C,FC,37.0902,-95.7129
2012,Baltic Triennial 2012,Vilnius,Claude Wampler ,USA,M,C,MC,37.0902,-95.7129
2012,Baltic Triennial 2012,Vilnius,Eric Baudelaire ,USA,M,C,MC,37.0902,-95.7129
2012,Baltic Triennial 2012,Vilnius,Farhad Sharmini  ,USA,M,C,MC,37.0902,-95.7129
2012,Baltic Triennial 2012,Vilnius,Marianne Vitale ,USA,F,C,FC,37.0902,-95.7129
2012,Baltic Triennial 2012,Vilnius,Michael Portnoy ,USA,M,C,MC,37.0902,-95.7129
2015,Baltic Triennial 2015,Vilnius,Erki Kasemets  ,Estonia,M,P,MP,58.5953,25.0136
2015,Baltic Triennial 2015,Vilnius,Mark Raidpere ,Estonia,M,P,MP,58.5953,25.0136
2015,Baltic Triennial 2015,Vilnius,Mikko Kuorinki ,Finland,M,C,MC,61.9241,25.7482
2015,Baltic Triennial 2015,Vilnius,Celine Condorelli ,France,F,C,FC,46.2276,2.2137
2015,Baltic Triennial 2015,Vilnius,Dina Danish ,France,F,C,FC,46.2276,2.2137
2015,Baltic Triennial 2015,Vilnius,The World In Which We Occur (Jennifer Teets and Margarida Mendes)  ,France,F,C,FC,46.2276,2.2137
2015,Baltic Triennial 2015,Vilnius,Styrmir Orn Gudmundsson  ,Iceland,M,P,MP,64.9631,-19.0208
2015,Baltic Triennial 2015,Vilnius,Brud,India,CO,P,COP,20.5937,78.9629
2015,Baltic Triennial 2015,Vilnius,Valentina Desideri ,Italy,F,C,FC,41.8719,12.5674
2015,Baltic Triennial 2015,Vilnius,Ieva Kraule ,Latvia,F,P,FP,56.8796,24.6032
2015,Baltic Triennial 2015,Vilnius,Kaspars Grosevs ,Latvia,M,P,MP,56.8796,24.6032
2015,Baltic Triennial 2015,Vilnius,Ola Valsijeva  ,Latvia,F,P,FP,56.8796,24.6032
2015,Baltic Triennial 2015,Vilnius,The Baltic Pavilion  ,Latvia,CO,P,COP,56.8796,24.6032
2015,Baltic Triennial 2015,Vilnius,The Oceans Academy Of Arts  ,Latvia,F,P,FP,56.8796,24.6032
2015,Baltic Triennial 2015,Vilnius,Algirdas Seskus,Lithuania,M,P,MP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Antanas Gerlikas ,Lithuania,M,P,MP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Darius Miksys ,Lithuania,M,P,MP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Gerda Paliusyte  ,Lithuania,F,P,FP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Goda Budvytytes ,Lithuania,F,P,FP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Kipras Dubauskas ,Lithuania,M,P,MP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Laura Kaminskaite ,Lithuania,F,P,FP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Liudvikas Buklys ,Lithuania,M,P,MP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Nomeda & Gediminas (Urbonas Studio) ,Lithuania,CO,P,COP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Robertas Narkus ,Lithuania,M,P,MP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Valdas Ozarinskas ,Lithuania,M,P,MP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Viktorija Rybakova ,Lithuania,F,P,FP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Vitalij Strigunkov  ,Lithuania,M,P,MP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,Zilvinas Landzbergas ,Lithuania,M,P,MP,55.1694,23.8813
2015,Baltic Triennial 2015,Vilnius,gerlach en koop,Netherlands,CO,C,COC,52.1326,5.2913
2015,Baltic Triennial 2015,Vilnius,Yazan Khalili ,Palestinian territories,M,P,MP,31.9522,35.2332
2015,Baltic Triennial 2015,Vilnius,Bianka Rolando ,Poland,F,P,FP,51.9194,19.1451
2015,Baltic Triennial 2015,Vilnius,Gizela Mickiewicz ,Poland,F,P,FP,51.9194,19.1451
2015,Baltic Triennial 2015,Vilnius,Lukasz Jastrubczak ,Poland,M,P,MP,51.9194,19.1451
2015,Baltic Triennial 2015,Vilnius,Magda Buczek  ,Poland,F,P,FP,51.9194,19.1451
2015,Baltic Triennial 2015,Vilnius,Marek Chlanda ,Poland,M,P,MP,51.9194,19.1451
2015,Baltic Triennial 2015,Vilnius,Wojciech Bakowski ,Poland,M,P,MP,51.9194,19.1451
2015,Baltic Triennial 2015,Vilnius,Zofia Rydet ,Poland,F,P,FP,51.9194,19.1451
2015,Baltic Triennial 2015,Vilnius,Beth Collar ,UK,F,C,FC,55.3781,-3.436
2015,Baltic Triennial 2015,Vilnius,Jay Tan ,UK,M,C,MC,55.3781,-3.436
2015,Baltic Triennial 2015,Vilnius,Marcos Lutyens ,UK,M,C,MC,55.3781,-3.436
2015,Baltic Triennial 2015,Vilnius,Rosalind Nashashibi ,UK,F,C,FC,55.3781,-3.436
2015,Baltic Triennial 2015,Vilnius,David Bernstein ,USA,M,C,MC,37.0902,-95.7129
2015,Baltic Triennial 2015,Vilnius,Michal Gayer  ,USA,M,C,MC,37.0902,-95.7129
2015,Baltic Triennial 2015,Vilnius,Nick Bastis  ,USA,M,C,MC,37.0902,-95.7129
2018,Baltic Triennial 2018,Vilnius,Dora Budor ,Croatia,F,P,FP,45.1,15.2
2018,Baltic Triennial 2018,Vilnius,Anna Hulacova ,Czech Republic,F,P,FP,49.8175,15.473
2018,Baltic Triennial 2018,Vilnius,Nina Beier ,Denmark,F,C,FC,56.2639,9.5018
2018,Baltic Triennial 2018,Vilnius,Anu Poder ,Estonia,F,P,FP,58.5953,25.0136
2018,Baltic Triennial 2018,Vilnius,Katja Novitskova ,Estonia,F,P,FP,58.5953,25.0136
2018,Baltic Triennial 2018,Vilnius,Benoit Maire ,France,M,C,MC,46.2276,2.2137
2018,Baltic Triennial 2018,Vilnius,Caroline Achaintre ,France,F,C,FC,46.2276,2.2137
2018,Baltic Triennial 2018,Vilnius,Laure Prouvost ,France,F,C,FC,46.2276,2.2137
2018,Baltic Triennial 2018,Vilnius,Pierre Huyghe ,France,M,C,MC,46.2276,2.2137
2018,Baltic Triennial 2018,Vilnius,Gaia Fugazza ,Italy,F,C,FC,41.8719,12.5674
2018,Baltic Triennial 2018,Vilnius,Ewao Kagoshima ,Japan,M,P,MP,36.2048,138.2529
2018,Baltic Triennial 2018,Vilnius,Daiga Grantina ,Latvia,F,P,FP,56.8796,24.6032
2018,Baltic Triennial 2018,Vilnius,Ella Kruglyanskaya ,Latvia,F,P,FP,56.8796,24.6032
2018,Baltic Triennial 2018,Vilnius,Augustas Serapinas ,Lithuania,M,P,MP,55.1694,23.8813
2018,Baltic Triennial 2018,Vilnius,Ieva Rojute ,Lithuania,F,P,FP,55.1694,23.8813
2018,Baltic Triennial 2018,Vilnius,Pakui Hardware,Lithuania,F,P,FP,55.1694,23.8813
2018,Baltic Triennial 2018,Vilnius,Darja Bajagic ,Montenegro,F,P,FP,42.7087,19.3744
2018,Baltic Triennial 2018,Vilnius,Huma Bhabha ,Pakistan,M,P,MP,30.3753,69.3451
2018,Baltic Triennial 2018,Vilnius,Evgeny Antufiev ,Russia,M,P,MP,61.524,105.3188
2018,Baltic Triennial 2018,Vilnius,Sanya Kantarovsky ,Russia,F,P,FP,61.524,105.3188
2018,Baltic Triennial 2018,Vilnius,Miriam Cahn ,Switzerland,F,C,FC,46.8182,8.2275
2018,Baltic Triennial 2018,Vilnius,Korakrit Arunanondchai ,Thailand,M,P,MP,15.87,100.9925
2018,Baltic Triennial 2018,Vilnius,Olga Balema ,Ukraine,F,P,FP,48.3794,31.1656
2018,Baltic Triennial 2018,Vilnius,Jayne Cortez  ,USA,F,C,FC,37.0902,-95.7129
2018,Baltic Triennial 2018,Vilnius,Max Hooper Schneider ,USA,M,C,MC,37.0902,-95.7129
2018,Baltic Triennial 2018,Vilnius,Melvin Edwards ,USA,M,C,MC,37.0902,-95.7129
2018,Baltic Triennial 2018,Vilnius,Michael E. Smith ,USA,M,C,MC,37.0902,-95.7129
2018,Baltic Triennial 2018,Vilnius,Rachel Rose ,USA,F,C,FC,37.0902,-95.7129
2019,Baltic Triennial 2019,Vilnius,Kasper Bosmans ,Belgium,M,C,MC,50.5039,4.4699
2019,Baltic Triennial 2019,Vilnius,Jaan Toomik ,Estonia,M,P,MP,58.5953,25.0136
2019,Baltic Triennial 2019,Vilnius,Alma Heikkila,Finland,F,C,FC,61.9241,25.7482
2019,Baltic Triennial 2019,Vilnius,Nicolas Wefers  ,Germany,M,C,MC,51.1657,10.4515
2019,Baltic Triennial 2019,Vilnius,Trevor Yeung,Hong Kong,M,P,MP,22.3193,114.1694
2019,Baltic Triennial 2019,Vilnius,Roza El-Hassan ,Hungary,F,P,FP,47.1625,19.5033
2019,Baltic Triennial 2019,Vilnius,Arturas Raila ,Lithuania,M,P,MP,55.1694,23.8813
2019,Baltic Triennial 2019,Vilnius,Aurelija Maknyte ,Lithuania,F,P,FP,55.1694,23.8813
2019,Baltic Triennial 2019,Vilnius,Daina Pupkeviciute ,Lithuania,F,P,FP,55.1694,23.8813
2019,Baltic Triennial 2019,Vilnius,Darius Ziura ,Lithuania,M,P,MP,55.1694,23.8813
2019,Baltic Triennial 2019,Vilnius,Gediminas Pempe ,Lithuania,M,P,MP,55.1694,23.8813
2019,Baltic Triennial 2019,Vilnius,Kaze Zimblyte  ,Lithuania,F,P,FP,55.1694,23.8813
2019,Baltic Triennial 2019,Vilnius,Vaida Tamoseviciute  ,Lithuania,F,P,FP,55.1694,23.8813
2019,Baltic Triennial 2019,Vilnius,Maria Taniguchi ,Philippines,F,P,FP,12.8797,121.774
2019,Baltic Triennial 2019,Vilnius,Aslan Gaisumov ,Russia,M,P,MP,61.524,105.3188
2019,Baltic Triennial 2019,Vilnius,Izmail Efimov ,Russia,M,P,MP,61.524,105.3188
2019,Baltic Triennial 2019,Vilnius,Kuchyran Yuri,Russia,M,P,MP,61.524,105.3188
2019,Baltic Triennial 2019,Vilnius,Pavel Mikushev ,Russia,M,P,MP,61.524,105.3188
2019,Baltic Triennial 2019,Vilnius,Zhonzhon Sandyr  ,Russia,M,P,MP,61.524,105.3188
2019,Baltic Triennial 2019,Vilnius,Simryn Gill ,Singapore,F,P,FP,1.3521,103.8198
2019,Baltic Triennial 2019,Vilnius,Donna Kukama ,South Africa,F,P,FP,-30.5595,22.9375
2019,Baltic Triennial 2019,Vilnius,Alexander Lee,USA,M,C,MC,37.0902,-95.7129
2019,Baltic Triennial 2019,Vilnius,Rustam Khalfin ,Uzbekistan,M,P,MP,41.3775,64.5853
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Anri Sala ,Albania,M,P,MP,41.1533,20.1683
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Markus Schinwald ,Austria,M,C,MC,47.5162,14.5501
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Oliver Croy ,Austria,M,C,MC,47.5162,14.5501
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Otto Muehl ,Austria,M,C,MC,47.5162,14.5501
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Berlinde De Bruyckere ,Belgium,F,C,FC,50.5039,4.4699
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Kris Martin ,Belgium,M,C,MC,50.5039,4.4699
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Michael Borremans ,Belgium,M,C,MC,50.5039,4.4699
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Nedko Solakov ,Bulgaria,M,P,MP,42.7339,25.4858
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Pravdoliub Ivanov ,Bulgaria,M,P,MP,42.7339,25.4858
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Steven Shearer ,Canada,M,P,MP,56.1304,-106.3468
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Sergej Jensen ,Denmark,M,C,MC,56.2639,9.5018
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Jaan Toomik ,Estonia,M,P,MP,58.5953,25.0136
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Maya Schweizer ,France,F,C,FC,46.2276,2.2137
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Roland Flexner ,France,M,C,MC,46.2276,2.2137
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Andro Wekua,Georgia,M,P,MP,42.3154,43.3569
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Clemens von Wedemeyer ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Dani Jakob ,Germany,F,C,FC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Felix Gmelin ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Florian Slotawa ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Gabriel Vormstein ,Germany,F,C,FC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Kai Althoff ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Kathrin Sonntag ,Germany,F,C,FC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Lorenz Strasl ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Lutz Braun ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Michael Beutler ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Michael Schmidt ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Michael Schultze ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Michaela Meise ,Germany,F,C,FC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Norbert Schwontkowski ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Oliver Elser ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Paloma Varga Weisz ,Germany,F,C,FC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Peter Rosel ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Ricarda Roggan ,Germany,F,C,FC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Sebastian Hammwohner ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Thomas Bayrle ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Thomas Schutte ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Thomas Zipp ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Tino Sehgal ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Tobias Buche ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Tomma Abts ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Ulf Aminde ,Germany,M,C,MC,51.1657,10.4515
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Christina Soulou ,Greece,F,P,FP,39.0742,21.8243
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Shirana Shahbazi ,Iran,F,P,FP,32.4279,53.688
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Patrick Jolley ,Ireland ,M,C,MC,53.1424,-7.6921
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Diego Perrone ,Italy,M,C,MC,41.8719,12.5674
2006,Berlin Biennial for Contemporary Art 2006,Berlin,Gino de Dominicis ,Italy,M,C,MC,41.8719,12.5674
